,neighborhood,latitude,longitude,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality
167,Downtown Dubai,25.196558,55.284162,858,2322.71,1,1,2
168,Jumeirah Lake Towers,25.071246,55.140806000000005,569,922.67,1,1,2
169,Dubai Marina,25.075017000000003,55.137997,1556,1278.92,2,2,1
170,Jumeirah Lake Towers,25.067137,55.139751,811,945.75,1,2,2
171,Dubai Hills Estate,25.111798,55.247341000000006,650,1687.52,1,1,2
172,Dubai Hills Estate,25.097804999999997,55.245773,482,1555.78,1,1,2
173,Jumeirah Village Circle,25.066013,55.212988,1439,625.43,2,3,2
174,Jumeirah Village Circle,25.058746,55.209389,771,745.78,1,2,2
175,Palm Jumeirah,25.106668,55.149275,1974,835.87,2,4,2
176,Dubai Marina,25.087251,55.145574,977,1637.67,1,2,1
177,The Hills,25.078492,55.15864200000001,1436,1323.12,2,3,2
178,Dubai Marina,25.081622,55.141977,1694,1003.54,2,3,2
179,Jumeirah Beach Residence,25.072291,55.130280000000006,1289,892.16,2,2,1
180,Dubai Marina,25.071504,55.128579,1468,817.44,2,3,3
181,Business Bay,25.183133,55.25658000000001,864,1620.37,1,2,2
182,Jumeirah Lake Towers,25.064767,55.138814,1327,659.38,2,3,2
183,Jumeirah Lake Towers,25.075364,55.14530799999999,897,713.49,1,2,2
184,Dubai Marina,25.073156,55.132798,1684,682.9,2,2,2
185,Downtown Dubai,25.195237,55.271449,812,1570.2,1,1,2
186,Downtown Dubai,25.194186,55.269439,1150,2608.7,2,2,1
187,Downtown Dubai,25.198796,55.271342,1900,1315.79,3,4,2
188,Downtown Dubai,25.199782,55.277662,1020,1421.57,1,1,2
189,Downtown Dubai,25.186836,55.276951,916,1036.03,1,1,2
190,Downtown Dubai,25.197262,55.270028,847,1038.96,1,2,1
191,DIFC,25.212018,55.278772,1634,1132.19,2,3,1
192,Jumeirah Beach Residence,25.076319,55.133627,3000,900.0,4,5,2
193,Palm Jumeirah,25.111229,55.136449,2248,1312.28,3,2,1
194,Jumeirah Village Triangle,25.043352,55.19351,425,729.41,0,1,1
195,Palm Jumeirah,25.110165,55.137511,2279,1579.64,3,4,2
196,Downtown Dubai,25.197316,55.274196,2008,1991.98,3,4,2
197,Jumeirah Village Circle,25.063265,55.21513100000001,738,555.56,1,1,2
198,Mohammed Bin Rashid City,25.178369,55.312594999999995,1457,1441.32,2,3,2
199,Dubai Harbour,25.100553,55.141699,867,1689.61,1,1,2
200,Dubai Marina,25.074307,55.132693999999994,1072,1119.4,1,2,2
201,Bluewaters,25.077576,55.122612,1448,2175.41,2,3,2
202,Dubai Marina,25.077327,55.140317,768,1497.4,1,1,2
203,Business Bay,25.189282,55.28915799999999,1395,663.08,1,2,2
204,Downtown Dubai,25.200879,55.276331000000006,1751,2569.96,2,3,2
205,Dubai Marina,25.088606,55.148208,1219,656.28,2,3,2
206,Jumeirah Village Circle,25.064191,55.216244999999994,1007,620.66,2,2,2
207,Downtown Dubai,25.191527,55.274545,1365,1941.39,2,2,2
208,DIFC,25.212018,55.278772,2030,1182.27,2,3,1
209,DIFC,25.212018,55.278772,1724,1189.1,2,3,1
210,DIFC,25.212018,55.278772,3330,1741.74,3,4,2
211,Dubai Marina,25.079385,55.141932999999995,1970,736.04,3,4,2
212,Meydan,25.156237,55.301002,590,1285.59,1,1,2
213,Al Furjan,25.02462,55.140434,1191,883.24,2,3,3
214,Business Bay,25.181115,55.264953000000006,7344,1021.24,3,5,2
215,Jumeirah Village Circle,25.066484,55.202948,670,895.52,1,2,1
216,Jumeirah,25.215192,55.235827,3168,4419.19,3,5,1
217,The Views,25.09003,55.170014,1642,1035.32,2,2,3
218,International City,25.16774,55.400659999999995,743,410.5,1,2,1
219,Dubai Hills Estate,25.109367,55.247980000000005,1356,958.7,2,3,1
220,Old Town,25.189039,55.274261,954,1310.27,1,1,2
221,Dubai Marina,25.090418,55.14874,1348,927.3,2,3,1
222,Palm Jumeirah,25.11257,55.136701,2524,931.06,3,4,1
223,Dubai Marina,25.086376,55.14736,822,1703.16,1,2,2
224,Dubai Marina,25.072375,55.136286,1674,1642.77,3,4,3
225,Arjan,25.06211,55.24355,561,1217.47,1,1,2
226,Jumeirah Beach Residence,25.080327,55.13821899999999,1877,900.37,3,4,2
227,Downtown Dubai,25.190873999999997,55.281666,1390,1043.17,2,2,2
228,Palm Jumeirah,25.106964,55.111349,1303,2000.0,2,3,3
229,The Views,25.088533,55.171838,1349,1019.27,2,2,1
230,Palm Jumeirah,25.125472,55.153066,1475,1762.71,2,3,2
231,Palm Jumeirah,25.132021,55.151405,2942,2599.93,3,4,2
232,Jumeirah Village Circle,25.057252,55.214303,829,579.01,1,2,1
233,Dubai Marina,25.084335999999997,55.14925,1508,1591.51,2,3,1
234,Dubai Marina,25.074958,55.138542,522,1532.57,0,1,2
235,Downtown Dubai,25.200879,55.276331000000006,2840,3809.86,4,5,2
236,Motor City,25.046706,55.246714,1051,598.48,1,1,1
237,Dubai Sports City,25.042351,55.205661,793,542.24,1,2,1
238,Jumeirah Village Circle,25.058632,55.202774,796,515.08,1,2,2
239,The Views,25.089719,55.170481,1305,1295.02,2,2,1
240,Jumeirah Lake Towers,25.07913,55.154713,415,966.0,0,1,2
241,Downtown Dubai,25.192471,55.274609,1312,1600.61,2,2,1
242,DAMAC Hills,25.015253,55.253831000000005,825,787.88,1,2,2
243,Dubai Marina,25.090009,55.146294,2173,593.65,3,3,2
244,Dubai Sports City,25.042779,55.22176999999999,768,546.88,1,1,2
245,Dubai Marina,25.074307,55.132693999999994,1410,1382.98,2,3,1
246,Downtown Dubai,25.187093,55.278912,1450,1103.45,2,3,2
247,Dubai Marina,25.087926,55.149224,844,811.61,1,1,2
248,Downtown Dubai,25.190267,55.273056,767,1825.16,1,2,2
249,Downtown Dubai,25.201842000000003,55.280473,1703,1996.48,3,4,2
250,Downtown Dubai,25.195039,55.26942,900,1544.33,1,2,1
251,Dubai Marina,25.071504,55.128579,708,1200.56,1,2,1
252,Dubai Marina,25.087251,55.145574,950,1500.0,1,2,2
253,Jumeirah Village Triangle,25.047255,55.189927,402,1151.46,1,2,1
254,Mohammed Bin Rashid City,25.178495,55.311623,539,1532.15,0,1,3
255,Dubai Production City (IMPZ),25.027415,55.181316,1083,784.86,2,2,2
256,Dubai Marina,25.088431,55.146759,3201,952.83,4,5,2
257,Mohammed Bin Rashid City,25.177819,55.308533,492,1643.33,1,1,3
258,Palm Jumeirah,25.123294,55.112014,1943,905.82,2,3,1
259,Dubai Marina,25.068586,55.12905799999999,592,1435.81,1,1,2
260,Dubai Marina,25.071365,55.124993,1176,1437.07,2,2,2
261,Jumeirah Village Circle,25.048461,55.209442,850,725.88,1,2,3
262,Downtown Dubai,25.201718,55.270982999999994,2024,1902.17,3,3,1
263,Dubai Marina,25.087926,55.149224,1760,769.89,2,3,2
264,Downtown Dubai,25.195039,55.26942,856,1606.31,1,2,1
265,Dubai Marina,25.090009,55.146294,2172,736.65,3,3,2
266,Falcon City of Wonders,25.103784,55.339287,549,1572.68,1,2,2
267,Falcon City of Wonders,25.103784,55.339287,405,1584.44,0,1,2
268,Palm Jumeirah,25.110724,55.139576,1355,922.51,1,1,1
269,Dubai Marina,25.070605,55.133230000000005,2280,1403.51,3,4,1
270,Downtown Dubai,25.186913,55.277919,1663,1022.25,2,3,1
271,Dubai Marina,25.087251,55.145574,1500,1366.67,2,3,1
272,Business Bay,25.18219,55.271356,1417,1017.29,2,3,2
273,Business Bay,25.185772,55.2861,2370,970.41,3,4,2
274,Downtown Dubai,25.193039,55.273284,986,1814.4,1,2,2
275,Dubai Marina,25.087251,55.145574,1746,1975.95,3,3,3
276,Downtown Dubai,25.200879,55.276331000000006,1285,2408.48,2,3,1
277,Palm Jumeirah,25.115747,55.142615,1587,1190.93,1,1,2
278,Dubai Marina,25.073778,55.132888,926,1619.87,1,2,1
279,Dubai Marina,25.071365,55.124993,1056,1704.55,2,2,2
280,Palm Jumeirah,25.132021,55.151405,3447,1679.72,3,4,2
281,Dubai Creek Harbour (The Lagoons),25.206345,55.345142,1930,1450.78,3,3,2
282,Palm Jumeirah,25.110559,55.137575,2250,1244.44,3,4,2
283,Palm Jumeirah,25.111108,55.137591,2439,984.01,3,4,2
284,Dubai Creek Harbour (The Lagoons),25.201227,55.34911,690,1252.17,1,1,2
285,Jumeirah Beach Residence,25.072569,55.126527,640,2406.25,1,2,2
286,Jumeirah Beach Residence,25.072569,55.126527,639,2503.91,1,2,1
287,Jumeirah Beach Residence,25.072569,55.126527,1160,2000.0,2,3,1
288,Jumeirah Beach Residence,25.072569,55.126527,1981,1171.13,2,3,2
289,Jumeirah Beach Residence,25.072569,55.126527,1181,2074.51,2,3,1
290,Jumeirah Beach Residence,25.072569,55.126527,1181,2074.51,2,3,1
291,Downtown Dubai,25.193703,55.271223,1300,2076.92,2,3,1
292,Downtown Dubai,25.194877,55.28314399999999,800,2709.86,1,2,1
293,Downtown Dubai,25.201204,55.270189,977,1740.02,1,2,2
294,Dubai Creek Harbour (The Lagoons),25.195295,55.365799,1170,1425.55,2,3,1
295,Dubai Creek Harbour (The Lagoons),25.20863,55.345967,820,1707.18,1,2,2
296,Dubai Hills Estate,25.099132,55.243981999999995,727,1446.89,2,3,1
297,Dubai Hills Estate,25.099132,55.243981999999995,723,1453.51,2,3,1
298,Dubai Hills Estate,25.099132,55.243981999999995,742,1377.21,2,3,1
299,Dubai Creek Harbour (The Lagoons),25.195854,55.349638,643,1617.42,1,2,1
300,Dubai Marina,25.080542,55.14034300000001,992,1980.73,1,2,2
